artist,album,song,listen_date,genre
Death Cab for Cutie,Maybe this Christmas Tree,Christmas (Baby Please Come Home),"02 Dec 2018, 18:56",test
LCD Soundsystem,Christmas Will Break Your Heart,Christmas Will Break Your Heart,"02 Dec 2018, 17:51",test
She & Him,A Very She & Him Christmas,The Christmas Waltz,"02 Dec 2018, 17:48",test
Death Cab for Cutie,Maybe this Christmas Tree,Christmas (Baby Please Come Home),"02 Dec 2018, 17:45",test
LCD Soundsystem,Christmas Will Break Your Heart,Christmas Will Break Your Heart,"02 Dec 2018, 17:42",test
Julien Baker,boygenius,Me & My Dog,"02 Dec 2018, 17:42",test
The Wonder Years,Sleeping on Trash: A Collection of Songs Recorded 2005-2010,Christmas at 22,"01 Dec 2018, 22:17",test
Fall Out Boy,Believers Never Die - Greatest Hits,Yule Shoot Your Eye Out - Bonus Track,"01 Dec 2018, 22:13",test
Frightened Rabbit,It's Christmas So We'll Stop,It's Christmas So We'll Stop,"01 Dec 2018, 22:08",test
The Flaming Lips,Ego Tripping at the Gates of Hell,A Change at Christmas (Say It Isn't So),"01 Dec 2018, 22:02",test
LCD Soundsystem,Christmas Will Break Your Heart,Christmas Will Break Your Heart,"01 Dec 2018, 21:58",test
She & Him,A Very She & Him Christmas,The Christmas Waltz,"01 Dec 2018, 21:55",test
Death Cab for Cutie,Maybe this Christmas Tree,Christmas (Baby Please Come Home),"01 Dec 2018, 21:52",test
Lord Huron,13 Reasons Why (Season 2),The Night We Met (feat. Phoebe Bridgers),"01 Dec 2018, 21:50",test
bazzi,Beautiful (feat. Camila Cabello),Beautiful (feat. Camila Cabello),"01 Dec 2018, 18:58",test
Charlotte Lawrence,Just The Same,Just The Same,"01 Dec 2018, 18:54",test
Ariana Grande,"Thank U, Next","Thank U, Next","01 Dec 2018, 18:51",test
Led Zeppelin,Led Zeppelin IV (Deluxe Edition),The Battle Of Evermore - Mandolin / Guitar Mix From Headley Grange,"01 Dec 2018, 15:00",test
Queen,Jazz (Deluxe Edition 2011 Remaster),Bicycle Race - Remastered 2011,"01 Dec 2018, 14:56",test
Hilary Duff,Metamorphosis,So Yesterday,"01 Dec 2018, 04:43",test
Hilary Duff,Metamorphosis,Come Clean,"01 Dec 2018, 04:40",test
Ke$ha,Animal,Take It Off,"30 Nov 2018, 23:59",test
Ariana Grande,Sweetener,God is a Woman,"30 Nov 2018, 22:15",test
Fall Out Boy,Believers Never Die - Greatest Hits,Yule Shoot Your Eye Out - Bonus Track,"30 Nov 2018, 19:22",test
Frightened Rabbit,It's Christmas So We'll Stop,It's Christmas So We'll Stop,"30 Nov 2018, 19:16",test
LCD Soundsystem,Christmas Will Break Your Heart,Christmas Will Break Your Heart,"30 Nov 2018, 19:10",test
The Wonder Years,Sleeping on Trash: A Collection of Songs Recorded 2005-2010,Christmas at 22,"30 Nov 2018, 19:08",test
Phoebe Bridgers,Stranger in the Alps,Scott Street,"30 Nov 2018, 19:07",test
Foreigner,Songs to Sing in the Shower,Hot Blooded,"30 Nov 2018, 14:53",test
Bobby Darin,Songs to Sing in the Shower,Splish Splash - Remastered,"30 Nov 2018, 14:50",test
Half Waif,Lavender,Lavender Burning,"30 Nov 2018, 13:58",test
Gloryhammer,Space 1992: Rise of the Chaos Wizards [Deluxe Version],Goblin King of the Darkstorm Galaxy,"30 Nov 2018, 03:40",test
Gloryhammer,Space 1992: Rise of the Chaos Wizards [Deluxe Version],Legend of the Astral Hammer,"30 Nov 2018, 02:34",test
Gloryhammer,Space 1992: Rise of the Chaos Wizards [Deluxe Version],Rise of the Chaos Wizards,"30 Nov 2018, 02:30",test
Gloryhammer,Space 1992: Rise of the Chaos Wizards [Deluxe Version],Infernus Ad Astra,"30 Nov 2018, 02:28",test
Khruangbin,The Universe Smiles Upon You,WHITE GLOVES,"30 Nov 2018, 01:02",test
Julien Baker,boygenius,Me & My Dog,"30 Nov 2018, 00:00",test
Julien Baker,boygenius,Salt In The Wound,"29 Nov 2018, 18:40",test
Julien Baker,boygenius,Stay Down,"29 Nov 2018, 18:36",test
Julien Baker,boygenius,Souvenir,"29 Nov 2018, 18:32",test
Julien Baker,boygenius,Me & My Dog,"29 Nov 2018, 18:28",test
Julien Baker,boygenius,Me & My Dog,"29 Nov 2018, 18:22",test
Julien Baker,boygenius,Bite The Hand,"29 Nov 2018, 18:18",test
Phoebe Bridgers,Stranger in the Alps,Scott Street,"29 Nov 2018, 18:12",test
Lord Huron,13 Reasons Why (Season 2),The Night We Met (feat. Phoebe Bridgers),"29 Nov 2018, 17:40",test
Bon Iver,Triple J Like a Version,Coming Down,"29 Nov 2018, 17:40",test
Phoebe Bridgers,Christmas Song,Christmas Song,"29 Nov 2018, 16:16",test
Allison Crutchfield,Lean In To It,Rose Knows,"29 Nov 2018, 04:06",test
Why?,Moh Lhean,Easy,"29 Nov 2018, 04:01",test
Porches,Slow Dance In The Cosmos,Headsgiving,"29 Nov 2018, 03:57",test
Jack Stauber,HiLo,Pizza Boy,"29 Nov 2018, 03:53",test
The Early November,In Currents,Call Off the Bells,"29 Nov 2018, 01:02",test
Nervous Dater,Don't Be a Stranger,Bad Spanish,"29 Nov 2018, 00:59",test
Tancred,Out Of The Garden,Bed Case,"29 Nov 2018, 00:56",test
The Ergs!,"Hindsight Is 20‰ÛÜ/‰ÛÜ20, My Friend",Jazz Is Like the New Coke,"29 Nov 2018, 00:54",test
Jordaan Mason & the Horse Museum,Divorce Lawyers I Shaved My Head,Racehorse: Get Married!,"29 Nov 2018, 00:47",test
fredo disco,Very Cool Music for Very Cool People,Jimbo,"29 Nov 2018, 00:43",test
The Good Life,The Modern Mary,The Modern Mary,"29 Nov 2018, 00:39",test
MCCAFFERTY,Sum of All Fears,Lumber Yard,"29 Nov 2018, 00:36",test
Queen of Jeans,Dig Yourself,More to Love,"29 Nov 2018, 00:33",test
Jeff Mangum,Live at Jittery Joe's,Oh Comely,"29 Nov 2018, 00:25",test
Horse Jumper of Love,Horse Jumper of Love,Ugly Brunette,"29 Nov 2018, 00:22",test
Cayetana,Nervous Like Me,Hot Dad Calendar,"29 Nov 2018, 00:19",test
100%,100% / Joyce Manor Split,All Dressed up in Dreams,"29 Nov 2018, 00:14",test
kississippi,Sunset Blush,Lash to Lash,"29 Nov 2018, 00:09",test
Sia,Everyday Is Christmas,Underneath The Mistletoe,"27 Nov 2018, 23:22",test
Sia,Everyday Is Christmas,Sunshine,"27 Nov 2018, 23:19",test
Sia,Everyday Is Christmas,Puppies Are Forever,"27 Nov 2018, 23:15",test
Sia,Everyday Is Christmas,Ho Ho Ho,"27 Nov 2018, 23:12",test
Sia,Everyday Is Christmas,Snowflake,"27 Nov 2018, 23:08",test
Sia,Everyday Is Christmas,Snowman,"27 Nov 2018, 23:05",test
Sia,Everyday Is Christmas,Candy Cane Lane,"27 Nov 2018, 23:01",test
Sia,Everyday Is Christmas,Santa's Coming for Us,"27 Nov 2018, 22:57",test
Sia,Everyday Is Christmas (Deluxe),Snowflake,"27 Nov 2018, 22:54",test
Led Zeppelin,Led Zeppelin IV (Deluxe Edition),The Battle Of Evermore - Mandolin / Guitar Mix From Headley Grange,"27 Nov 2018, 22:49",test
Led Zeppelin,Led Zeppelin IV (Deluxe Edition),The Battle Of Evermore - Mandolin / Guitar Mix From Headley Grange,"27 Nov 2018, 22:45",test
The Flaming Lips,Ego Tripping at the Gates of Hell,A Change at Christmas (Say It Isn't So),"27 Nov 2018, 22:45",test
LCD Soundsystem,Christmas Will Break Your Heart,Christmas Will Break Your Heart,"27 Nov 2018, 21:45",test
She & Him,A Very She & Him Christmas,The Christmas Waltz,"27 Nov 2018, 21:43",test
Death Cab for Cutie,Maybe this Christmas Tree,Christmas (Baby Please Come Home),"27 Nov 2018, 21:39",test
Queen,A Night At The Opera (Deluxe Remastered Version),Love Of My Life - Remastered 2011,"27 Nov 2018, 21:33",test
LCD Soundsystem,Christmas Will Break Your Heart,Christmas Will Break Your Heart,"27 Nov 2018, 21:30",test
LCD Soundsystem,Christmas Will Break Your Heart,Christmas Will Break Your Heart,"27 Nov 2018, 21:26",test
Queen,A Night At The Opera (Deluxe Remastered Version),Love Of My Life - Remastered 2011,"27 Nov 2018, 21:22",test
Julien Baker,boygenius,"Ketchum, ID","27 Nov 2018, 21:18",test
Julien Baker,boygenius,Souvenir,"27 Nov 2018, 21:16",test
Julien Baker,boygenius,Me & My Dog,"27 Nov 2018, 21:12",test
Julien Baker,boygenius,Bite The Hand,"27 Nov 2018, 21:09",test
Sia,Everyday Is Christmas,Underneath The Mistletoe,"27 Nov 2018, 21:05",test
Sia,Everyday Is Christmas,Sunshine,"27 Nov 2018, 21:01",test
Sia,Everyday Is Christmas,Puppies Are Forever,"27 Nov 2018, 20:58",test
Sia,Everyday Is Christmas,Snowman,"27 Nov 2018, 20:56",test
Sia,Everyday Is Christmas,Candy Cane Lane,"27 Nov 2018, 20:48",test
Sia,Everyday Is Christmas,Santa's Coming for Us,"27 Nov 2018, 20:45",test
Sia,Everyday Is Christmas,Snowman,"27 Nov 2018, 20:41",test
Sia,Everyday Is Christmas,Santa's Coming for Us,"27 Nov 2018, 20:35",test
Mom Jeans.,Now That's What I Call Music Vol. 420,YIKES (daddy wants wings),"27 Nov 2018, 20:32",test
Julien Baker,boygenius,Me & My Dog,"27 Nov 2018, 20:31",test
Mason Schmitt,Selections from The Charity Compilations (Sampler),Holy Night,"27 Nov 2018, 19:35",test
Peters Jacket,Selections from The Charity Compilations (Sampler),Leg Lamp,"27 Nov 2018, 19:31",test
D. Swick,Selections from The Charity Compilations (Sampler),Christmas in a Honda,"27 Nov 2018, 19:29",test
Miki Fiki,Selections from The Charity Compilations (Sampler),I Saw Mommy Kissing Santa Claus,"27 Nov 2018, 19:25",test
Kate Gillespie,Selections from The Charity Compilations (Sampler),Season of Sorrow,"27 Nov 2018, 19:23",test
The Human Uniform Choir,Selections from The Charity Compilations (Sampler),Wonderful Christmastime,"27 Nov 2018, 19:20",test
The Pills,Selections from The Charity Compilations (Sampler),What Would Jesus Do?,"27 Nov 2018, 19:14",test
The Human Uniform Choir,Selections from The Charity Compilations (Sampler),Auld Lang Syne,"27 Nov 2018, 19:12",test
The Human Uniform Choir,Selections from The Charity Compilations (Sampler),Happy Xmas (War is Over),"27 Nov 2018, 19:07",test
Kristoff Waltz,Selections from The Charity Compilations (Sampler),The Christmas Waltz - 2017 Remaster,"27 Nov 2018, 17:59",test
Onsind,Dissatisfactions,"Lord, beer me strength","27 Nov 2018, 13:20",test
Darwin Deez,Double Down,The Missing I Wanna Do,"26 Nov 2018, 23:40",test
The World Is a Beautiful Place & I Am No Longer Afraid to Die,Mixed Signals,"To the Janitor, to the King","26 Nov 2018, 23:37",test
100%,100% / Joyce Manor Split,All Dressed up in Dreams,"26 Nov 2018, 23:33",test
Phoebe Bridgers,Have Yourself a Merry Little Christmas,Have Yourself a Merry Little Christmas,"26 Nov 2018, 23:30",test
Into It. Over It.,Life Is Suffering,Anchor,"26 Nov 2018, 21:05",test
Pinegrove,Cardinal,Cadmium,"26 Nov 2018, 20:57",test
Free Throw,Those Days Are Gone,Pallet Town,"26 Nov 2018, 20:54",test
Free Throw,Those Days Are Gone,Pallet Town,"26 Nov 2018, 18:04",test
Queen,A Night At The Opera (Deluxe Remastered Version),Love Of My Life - Remastered 2011,"25 Nov 2018, 20:37",test
LCD Soundsystem,Christmas Will Break Your Heart,Christmas Will Break Your Heart,"25 Nov 2018, 16:48",test
LCD Soundsystem,Christmas Will Break Your Heart,Christmas Will Break Your Heart,"25 Nov 2018, 16:45",test
LCD Soundsystem,Christmas Will Break Your Heart,Christmas Will Break Your Heart,"25 Nov 2018, 16:41",test
Daddy Issues,Deep Dream,Locked Out,"25 Nov 2018, 16:37",test
LCD Soundsystem,Christmas Will Break Your Heart,Christmas Will Break Your Heart,"24 Nov 2018, 20:11",test
LCD Soundsystem,Christmas Will Break Your Heart,Christmas Will Break Your Heart,"24 Nov 2018, 20:03",test
LCD Soundsystem,Christmas Will Break Your Heart,Christmas Will Break Your Heart,"24 Nov 2018, 19:21",test
